Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,1607,303,16385,1751.33,13.000%,44.83903,1036.71,12.29,23675.7
TOTAL,1000,1607,303,16385,1751.33,13.000%,44.83903,1036.71,12.29,23675.7
