Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1,1326,1326,1326,1326,1326,1326,1326,0.000%,.75415,153.13,0.09
TOTAL,1,1326,1326,1326,1326,1326,1326,1326,0.000%,.75415,153.13,0.09
