Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1000,1607,1010,4081,6340,7621,303,16385,13.000%,44.83903,1036.71,12.29
TOTAL,1000,1607,1010,4081,6340,7621,303,16385,13.000%,44.83903,1036.71,12.29
